"serie" , "linear.f0" , "linear.f0.se" , "linear.f0.p" , "linear.C0" , "linear.AIC" , "linear.AICc" , "linear.RSE" , "linear.r" , "linear.diagnostics" , "robust.linear.f0" , "robust.linear.f0.se" , "robust.linear.f0.p" , "robust.linear.C0" , "robust.linear.weights" , "robust.linear.diagnostics" , "HMR.f0" , "HMR.f0.se" , "HMR.f0.p" , "HMR.kappa" , "HMR.phi" , "HMR.AIC" , "HMR.AICc" , "HMR.RSE" , "HMR.diagnostics" , "kappa.max" , "flux" , "flux.se" , "flux.p" , "method"
"ID111" , 361.844870543541 , 5.11128711215787 , 2.95083078112792e-11 , 570.601838048527 , 33.3237764063191 , 38.1237764063191 , 1.25195491176807 , 0.999302363647659 , "" , 359.353586416351 , 5.03483953682338 , 2.88703638805557e-11 , 571.124999298181 , "1|0.54|0.57|1|1|1|1|1|1" , "" , 368.592456417535 , 20.2715449261227 , 1.78171316879461e-06 , 0.464648547891861 , 3090.45681906033 , 35.1392466207027 , 45.1392466207027 , 1.33847371244408 , "" , 14.0458284592012 , 368.592456417535 , 20.2715449261227 , 1.78171316879461e-06 , "HMR"
"ID112" , 396.237482794936 , 35.8990768137302 , 0.000106288631537461 , 544.502789638745 , 48.7860814950366 , 56.7860814950366 , 6.08268532228781 , 0.980089947571194 , "" , 396.237482794936 , 35.8990768137302 , 0.000106288631537461 , 544.502789638745 , "1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 15.380855624907 , 396.237482794936 , 35.8990768137302 , 0.000106288631537461 , "robust linear"
"ID113" , 378.258789599375 , 21.0308788440028 , 1.90002057832452e-06 , 627.447139819854 , 49.9664401782009 , 55.9664401782009 , 4.36145193334066 , 0.990853236389041 , "" , 378.258789599375 , 21.0308788440028 , 1.90002057832452e-06 , 627.447139819854 , "1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 14.6829719153324 , 378.258789599375 , 21.0308788440028 , 1.90002057832452e-06 , "robust linear"
"ID121" , 410.48472054305 , 17.4109006377429 , 2.11860094045323e-09 , 598.435650101708 , 63.6992692551461 , 67.1278406837175 , 3.68433803424277 , 0.992001182660361 , "" , 413.462405564992 , 18.1044678582227 , 3.15027954803472e-09 , 598.014884993021 , "0.82|1|1|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 15.9338944371661 , 413.462405564992 , 18.1044678582227 , 3.15027954803472e-09 , "robust linear"
"ID122" , 638.276220612589 , 23.8508080933661 , 9.38174069708061e-13 , 542.099556819508 , 109.383253985708 , 111.565072167526 , 8.15572679565238 , 0.991045563448771 , "" , 645.420670629468 , 24.1978250951069 , 1.36117577880711e-12 , 540.555202510485 , "0.64|1|1|1|1|1|1|1|1|1|1|1|1|1|0.92" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , 24.7761376051699 , 645.420670629468 , 24.1978250951069 , 1.36117577880711e-12 , "robust linear"
"ID123" , 788.523129395246 , 57.1776621961071 , 2.7514838471914e-08 , 548.110034730815 , 114.252196336887 , 116.918863003553 , 16.9138789084402 , 0.972277704453848 , "" , 783.312470183685 , 55.7498320366586 , 2.02791024940641e-08 , 549.76490853963 , "1|1|1|1|0.65|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 30.608311774494 , 783.312470183685 , 55.7498320366586 , 2.02791024940641e-08 , "robust linear"
"ID131" , 548.875313159263 , 22.3667392233229 , 4.75402153102969e-08 , 620.76528592562 , 60.1269378118803 , 64.9269378118803 , 5.5498493408428 , 0.994238177993354 , "" , 553.67656561512 , 23.5735446613079 , 7.40827740411976e-08 , 619.893147376978 , "0.76|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , 21.3058388323834 , 553.67656561512 , 23.5735446613079 , 7.40827740411976e-08 , "robust linear"
"ID132" , 1623.47522380709 , 105.19234828641 , 1.15717139810913e-06 , 558.817374982959 , 88.0360830271811 , 92.8360830271811 , 26.1612379865071 , 0.985621976267424 , "" , 1672.18769118185 , 98.0962261957709 , 7.80890702617434e-07 , 549.948549730881 , "0.55|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , 63.0188690172787 , 1672.18769118185 , 98.0962261957709 , 7.80890702617434e-07 , "robust linear"
"ID133" , 835.261751255236 , 39.9617200583319 , 5.9103919200178e-12 , 467.27997779078 , 133.483424877558 , 135.483424877558 , 13.8971556615418 , 0.984352193594143 , "" , 845.926540494446 , 39.3387811497589 , 5.05522681913977e-12 , 465.199225227416 , "0.7|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 32.422577274731 , 845.926540494446 , 39.3387811497589 , 5.05522681913977e-12 , "robust linear"
"ID141" , 586.729473224871 , 13.552075177902 , 1.92942822967182e-15 , 605.087250127538 , 92.2205212099098 , 94.402339391728 , 4.60263636559996 , 0.996550173476572 , "" , 582.333018875461 , 12.6714526838429 , 1.05558950969536e-15 , 605.989492661981 , "1|0.62|1|1|1|1|1|1|1|1|1|1|1|1|1" , "" , 754.442899476156 , 33.2775529935744 , 3.21256419015548e-11 , 5.79169173074812 , 1011.93906946294 , 74.642963185327 , 78.642963185327 , 2.49444272771338 , "" , 22.775233819108 , 754.442899476156 , 33.2775529935744 , 3.21256419015548e-11 , "HMR"
